address_raw,rooms_raw,area_raw,price_raw,title_raw,description_raw
"Badenerstrasse 686, 8048 Zürich",5.5 Zimmer,167m²,CHF 5’820.–,"Exklusive Erstvermietung - Projekt ""TILIA""","Im Projekt «TILIA» finden Sie 72 stilvolle 1.5 bis 4.5-Zimmer-Wohnungen und Gewerbeflächen im Erdgeschoss.Das von den renommierten Basler Architekten Herzog &amp; de Meuron entworfene Projekt steht für hochwertige Verdichtung mit vielfältigen Grundrisstypologien in hoher Qualität. Die 5.5-Zimmer-Wohnungen zeichnen sich durch folgende Vorzüge aus: • Hochwertiger Ausbau im Eigentumsstandard • Moderne Küche mit Induktions-Kochfeld, Backofen, Kühl-Gefrierkombination und Geschirrspüler • Wohn- und Schlafzimmer mit Eichenparkett • Dusche/WC • Balkon/Loggia • Fussbodenheizung Altstetten ist ein aufstrebender Stadtteil, der das Beste aus städtischen Leben und Naherholungsgebiet verbindet. Hier finden Sie Lebensqualität: Einkaufsmöglichkeiten, Restaurants, Sporteinrichtungen, Hallen- und Freibad, Schulen und Weiteres in Gehdistanz. Haben wir Ihr Interesse geweckt?Gerne stehen wir Ihnen bei Fragen zur Verfügung und würden uns freuen Sie als neuen Mieter begrüssen zu dürfen."
"Siewerdtstrasse 75, 8050 Zürich",2.5 Zimmer,41m²,CHF 740.–,"🏠 Grand Opening Special – City Pop Zürich Oerlikon Central! Stay 22 Months, Pay for 22! 🎉","📢 Buche für ein Jahr und erhalte den 22. Monat gratis!⏳ Nur für kurze Zeit! Die ersten 25 Apartments, die für 52 Wochen gebucht werden, profitieren von dieser exklusiven Aktion.🔖 Angebotsdetails: • Buche für 52 aufeinanderfolgende Wochen und erhalte den letzten Monat kostenlos. • Angebot gültig für Buchungen bis zum 32. März 2025 oder solange der Vorrat reicht. • Exklusiv für City Pop Zürich Oerlikon Central, Siewerdtstrasse 75, 8050 Zürich. • Nicht übertragbar und nur für die erste Buchung gültig. • Die Buchung muss durchgehend und ohne Unterbrechung erfolgen. • Nicht in Bargeld oder andere Rabatte umwandelbar. • Wird die Buchung unterbrochen oder storniert, verfällt das Angebot. • Der Kunde zahlt alle monatlichen Gebühren, außer für den letzten Monat, der kostenlos ist. 🚀 Jetzt schnell sein! Dieses Angebot gilt nur für eine begrenzte Anzahl an Apartments!Neu eröffnung! Ab dem 23.03. bieten wir zentral gelegene Apartments im Gebäude City Pop Zurich Oerlikon Central an der Siewerdtstrasse 73, 8050 Zürich an, die zwischen 41 und 70 Quadratmeter gross sind. Ab 525 CHF/Woche können Sie aus verschiedenen Pop-Typen wählen: Pop M, L, Pop 2.5Die beigefügten Bilder stammen aus anderen City Pop Apartments und sind als repräsentativ zu betrachten. Die Möblierung ist gleich, das Layout könnte variieren.Diese möblierten Apartments bieten ein authentisches Wohnerlebnis. Da die Bauarbeiten noch im Gange sind, stehen uns noch keine Originalfotos zur Verfügung.So buchen Sie Ihr Apartment:Laden Sie einfach unsere App herunter: • Für iOS: Suchen Sie nach City Pop im App Store. • Für Android: Suchen Sie nach City Pop im Google Play Store. Nach der Installation der App erstellen Sie ein Konto und navigieren Sie zum Suchbereich. Folgen Sie diesen Schritten: • Wählen Sie ""Suchen und Jetzt Buchen!"" • Wählen Sie Zürich als Ihre Stadt. • Setzen Sie Ihre gewünschten Check-in- und Check-out-Daten. Die Apartments sind vollständig ausgestattet, einschließlich: • Küche, Wohnzimmer, Schlafzimmer und Bad. • Vollständiges Inventar für die Küche (Teller, Gläser, Töpfe usw.). • Schlafbereich und Bad (mit Handtuchset). • Nebenkosten inklusive. • Wi-Fi und Smart TV. Die Pop Apartments können für einen Mindestzeitraum von 4 Wochen gebucht werden. Zudem wird eine breite Palette von Standard- und Zusatzdiensten verfügbar sein, die über die City Pop App aktiviert werden können, darunter: • Reinigungsservice (wöchentlich, zweiwöchentlich). • Parkplatz. Das Gebäude wird auch über fantastische Gemeinschaftsräume verfügen, darunter: • Co-Living-Bereiche. • Garten. Es ist so einfach wie ein Hotelzimmer zu buchen! Die Reservierungen sind jetzt geöffnet! Worauf warten Sie noch? Buchen Sie jetzt Ihren Aufenthalt im City Pop Zurich Oerlikon Central, Siewerdtstrasse 73, 8050 Zürich!Wenn Sie Fragen haben oder weitere Informationen benötigen, zögern Sie bitte nicht, uns unter contact.ch@citypop.com zu kontaktieren. Unser Team steht Ihnen gerne zur Verfügung.____________________________________________________________________ENG📢 Book for one year and get the 22th month free!⏳ Limited availability! Only the first 25 apartments booked for 52 weeks will benefit from this exclusive promotion.🔖 Offer Details: • Book for 52 consecutive weeks and get the last month free. • Offer valid for bookings made by March 32, 2025, or until sold out. • Exclusive to City Pop Zürich Oerlikon Central, Siewerdtstrasse 75, 8050 Zürich. • Non-transferable and valid only for the first booking. • The booking must be continuous and without interruption. • Not convertible into cash or other discounts. • If the booking is interrupted or canceled, the offer becomes void. • The customer pays all monthly fees except for the last one, which is free. 🚀 Hurry up! This offer is available for a limited number of apartments!City Pop Zurich Oerlikon Central - The flexible solution for short and long stays that makes you feel at home.Newly opening! Starting from March 23, we offer centrally located apartments at City Pop Zurich Messe, Siewerdtstrasse 73, 8050 Zurich, ranging from 41 to 70 square meters. From 525 CHF/week, you can choose from various Pop types: Pop M, L, Pop 2.5.The attached images are from other City Pop apartments and are to be considered representative. The furnishings are the same, but the layout may vary.These furnished apartments provide an authentic living experience. As construction is still ongoing, we do not yet have original photos.How to book your apartment:Simply download our app: • For iOS: Search for City Pop in the App Store. • For Android: Search for City Pop in the Google Play Store. Once the app is installed, create an account and navigate to the search section. Follow these steps: • Select ""Search and Book Now!"" • Choose Zurich as your city. • Set your desired check-in and check-out dates. The apartments are fully equipped, including: • Kitchen, living room, bedroom, and bathroom. • Complete kitchen inventory (plates, glasses, pots, etc.). • Sleeping area and bathroom (with towel set). • All utilities included. • Wi-Fi and Smart TV. Pop apartments can be booked for a minimum period of 4 weeks. Additionally, a wide range of standard and additional services will be available, activated via the City Pop app, including: • Cleaning service (weekly, bi-weekly). • Parking. The building will also feature fantastic communal spaces, including: • Co-living areas. • Garden. It’s as simple as booking a hotel room! Reservations are now open! What are you waiting for? Book your stay at City Pop Zurich Oerlikon Central, Siewerdtstrasse 73, 8050 Zurich, now!If you have any questions or need further information, please do not hesitate to contact us at contact.ch@citypop.com. Our team is here to assist you."
"Hagenholzstrasse 55, 8050 Zürich",4.5 Zimmer,114m²,CHF 3’140.–,Tower fifty five - metropolitan living spaces,N/A
"Siewerdtstrasse 75, 8050 Zürich",2.5 Zimmer,41m²,CHF 740.–,Last available Apartments at City Pop Zürich Oerlikon Central,"Neu eröffnung! Ab dem 23.03. bieten wir zentral gelegene Apartments im City Pop Zurich Oerlikon Central an der Siewerdtstrasse 73, 8050 Zürich an, die zwischen 23 und 70 Quadratmeter groß sind. Ab 525 CHF/Woche können Sie aus verschiedenen Pop-Typen wählen: Pop M, L, Pop 2.5Die beigefügten Bilder stammen aus anderen City Pop Apartments und sind als repräsentativ zu betrachten. Die Möblierung ist gleich, das Layout könnte variieren.Diese möblierten Apartments bieten ein authentisches Wohnerlebnis. Da die Bauarbeiten noch im Gange sind, stehen uns noch keine Originalfotos zur Verfügung.So buchen Sie Ihr Apartment:Laden Sie einfach unsere App herunter: • Für iOS: Suchen Sie nach City Pop im App Store. • Für Android: Suchen Sie nach City Pop im Google Play Store. Nach der Installation der App erstellen Sie ein Konto und navigieren Sie zum Suchbereich. Folgen Sie diesen Schritten: • Wählen Sie ""Suchen und Jetzt Buchen!"" • Wählen Sie Zürich als Ihre Stadt. • Setzen Sie Ihre gewünschten Check-in- und Check-out-Daten. Die Apartments sind vollständig ausgestattet, einschließlich: • Küche, Wohnzimmer, Schlafzimmer und Bad. • Vollständiges Inventar für die Küche (Teller, Gläser, Töpfe usw.). • Schlafbereich und Bad (mit Handtuchset). • Nebenkosten inklusive. • Wi-Fi und Smart TV. Die Pop Apartments können für einen Mindestzeitraum von 4 Wochen gebucht werden. Zudem wird eine breite Palette von Standard- und Zusatzdiensten verfügbar sein, die über die City Pop App aktiviert werden können, darunter: • Reinigungsservice (wöchentlich, zweiwöchentlich). • Parkplatz. Das Gebäude wird auch über fantastische Gemeinschaftsräume verfügen, darunter: • Co-Living-Bereiche. Es ist so einfach wie ein Hotelzimmer zu buchen! Die Reservierungen sind jetzt geöffnet! Worauf warten Sie noch? Buchen Sie jetzt Ihren Aufenthalt im City Pop Zurich Oerlikon Central, Siewerdtstrasse 73, 8050 Zürich!Wenn Sie Fragen haben oder weitere Informationen benötigen, zögern Sie bitte nicht, uns unter contact.ch@citypop.com zu kontaktieren. Unser Team steht Ihnen gerne zur Verfügung.Bitte beachte: Die Bilder stammen aus anderen bereits betriebenen City Pop Apartments. Das Layout bleibt jedoch unverändert, da sich die Apartments derzeit in der Endfertigungsphase befinden._____________________________________________________________ENGCity Pop Zurich Messe - The flexible solution for short and long stays that makes you feel at home.Newly opening! Starting from March 23, we offer centrally located apartments at City Pop Zurich Oerlikon Central, Siewerdtstrasse 73, 8050 Zurich, ranging from 23 to 70 square meters. From 525 CHF/week, you can choose from various Pop types: Pop M, L, Pop 2.5.The attached images are from other City Pop apartments and are to be considered representative. The furnishings are the same, but the layout may vary.These furnished apartments provide an authentic living experience. As construction is still ongoing, we do not yet have original photos.How to book your apartment:Simply download our app: • For iOS: Search for City Pop in the App Store. • For Android: Search for City Pop in the Google Play Store. Once the app is installed, create an account and navigate to the search section. Follow these steps: • Select ""Search and Book Now!"" • Choose Zurich as your city. • Set your desired check-in and check-out dates. The apartments are fully equipped, including: • Kitchen, living room, bedroom, and bathroom. • Complete kitchen inventory (plates, glasses, pots, etc.). • Sleeping area and bathroom (with towel set). • All utilities included. • Wi-Fi and Smart TV. Pop apartments can be booked for a minimum period of 4 weeks. Additionally, a wide range of standard and additional services will be available, activated via the City Pop app, including: • Cleaning service (weekly, bi-weekly). • Parking. The building will also feature fantastic communal spaces, including: • Co-living areas. It’s as simple as booking a hotel room! Reservations are now open! What are you waiting for? Book your stay at City Pop Zurich Oerlikon Central, Siewerdtstrasse 73, 8050 Zurich, now!If you have any questions or need further information, please do not hesitate to contact us at contact.ch@citypop.com. Our team is here to assist you.Please note: The images are from other already operational City Pop apartments. However, the layout remains unchanged, as the apartments are currently in the final finishing phase."
"Götzstrasse 19, 8006 Zürich",5.5 Zimmer,120m²,CHF 5’510.–,"Built in 2024 - Bright 5.5-Room Apartment in Zürich with Balcony, Lift & Garden Access","Newly built (2024), modern 5.5-room apartment (120m²) in a well-maintained building in Zürich's desirable 8006 district.This comfortable apartment located on the 3rd floor offers a practical layout with a spacious living/dining area, two bedrooms, and a modern bathroom. The 7m² balcony provides a perfect outdoor space for relaxation.Key Features: • Convenient location, direct connection to Tram lines 9 and 10 • Bright, well-designed living spaces • Modern kitchen • Elevator access • Use of shared garden area • Storage cellar included • Quiet residential neighborhood • Good transport connections • Parking available for an extra charge The monthly rent is CHF 3,605 plus CHF 190 for heating and additional costs (total CHF 5,510)."
"Sternenstrasse, 8002 Zürich",2 Zimmer,N/A,CHF 1’740.–,neu möbliertes Zimmer in Zürich,"Wir vermieten per sofort ein möbliertes Zimmer in der Stadt Zürich.Das Zimmer ist hell und modern eingerichtet. Folgende Möbel sind bereits vorhanden: Bett mit neuer Matratze und Bettbezug, Tisch mit Stuhl, Kleiderschrank, Lampen, Regal, LCD- TV, etc... Ebenfalls bieten wir ein kostenloses, sehr schnelles WLAN Internet an.Alle Nebenkosten sind im Mietzins bereites inklusive. Das heisst: Strom, Wasser und Heizung müssen Sie nicht extra bezahlen.Das Badezimmer und die Küche teilen Sie sich mit den freundlichen und ruhigen Mitbewohnern.Gerne zeigen wir Ihnen das Zimmer persönlich. Wir freuen uns auf Ihre Kontaktaufnahme."
"Buchholzstrasse 9, 8053 Zürich",5.5 Zimmer,154m²,CHF 5’010.–,Erstvermietung Neubau: luxuriöse 5.5-Zimmerwohnung im Wohnpark Buchholzstrasse,N/A
"Buchholzstrasse 9, 8053 Zürich",4.5 Zimmer,92m²,CHF 3’450.–,Erstvermietung Neubau: luxuriöse 4.5-Zimmerwohnung im Wohnpark Buchholzstrasse,N/A
"Buchholzstrasse 9, 8053 Zürich",2.5 Zimmer,65m²,CHF 2’400.–,Erstvermietung Neubau: luxuriöse 2.5-Zimmerwohnung im Wohnpark Buchholzstrasse,N/A
"Hottingerstrasse 38, 8032 Zürich",5.5 Zimmer,145m²,CHF 4’520.–,Toplage am Hottingerplatz,"Tolle 5.5- Zimmer-Wohnung per 1.4.2025 oder auf VereinbarungBesichtigungstermine - ohne VoranmeldungSamstag 8.3.2025 um 12:00 UhrDienstag 11.3.2025 um 18:00 UhrDonnerstag 13.3.2025 um 18:00 UhrGrosses Wohnzimmer (Seite Hottingerstrasse) Schlafzimmer mit Einbauschrank und ruhiger Lage da hofseitig. Ruhiges Büro/Gästezimmer ideal für Homeoffice. Abgeschlossene Küche mit eigener Waschmaschine/TumblerSchlafzimmer hofseitig, ruhig mit kleinem Südbalkon,Sehr schöne, sonnige Stadtwohnung im Englischviertelqartier an bester Lage, Nähe Zürichberg, Dolderwald und See, Kinderspital, Kunsthaus, Schauspielhaus, ETH. Tramhaltestelle direkt am Hottingerplatz Nr. 3/8/9 und Bus N71 N74,Schöner Grundriss, Parkettböden, moderne Küche und BadezimmerGerne erreichen Sie uns von Montag bis Freitag 15:00 - 21:00 telefonisch oder via WhatsApp"
"Mythenquai 353, 8038 Zürich",4.5 Zimmer,150m²,CHF 6’730.–,Grosszügige 4.5-Zimmerwohnung in Zürich,N/A
"Eichbühlstrasse 64, 8004 Zürich",4 Zimmer,94m²,CHF 3’920.–,"Exklusive, moderne Balkonwohnung an zentraler, ruhiger Lage","An einem äußerst zentral gelegenen Mehrfamilienhaus in Zürich Hard vermieten wir per sofort oder nach Vereinbarung diese exklusive Balkonwohnung im 4. OG.&gt; Zur Lage:- Die Liegenschaft ist ca. 5 Gehminuten vom Hardplatz entfernt, befindet sich allerdings an angenehm ruhiger, städtischer Wohnlage. Der Autobahnanschluss (A1 Bern Basel) kann in ca. 2 Minuten erreicht werden.&gt; Zur Ihrer Wohnqualität:- Das Wohnzimmer ist sehr lichtdurchflutet und mit einem hochwertigen Parkettboden ausgestattet. - Die Küche, welche an das Wohnzimmer grenzt, ist mit Keramik Bodenplatten versehen. Ihre dunkle Granitarbeitsfläche verleiht dem Design ein zeitloses Gefühl. - Das Badezimmer ist mit einer Badewanne, WC und Lavabo ausgestattet. Die dunkeln Bodenplatten und Wandkacheln verleihen dem Badezimmer das gewisse Etwas. - Die neu eingebaute Solaranlage produziert umweltfreundliche Energie.Für Fragen kontaktieren Sie uns bitte über das Kontaktformular.Mietzins : Fr. 2'700.00 + Nebenkosten"
